lab_name,testcode,name,addnames,paneldetails,panelnames,posttests,preparment,kind,limitations,vessel,color,volume,bloodamount,pretransportconditions,transportconditions,maxtime,addressee,testpurpose,clinicalinfo,method,processingtime,specialdays,outtermonitoring,pricecode,comments
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,Bronchoalveolar Lavage,BAL differential cell count,.....,.....,.....,.....,שטיפה ברונכואלוואולרית,"מעט תאים , שטיפה של אזורים עליונים של דרכי הנשימה וזיהום של דם פריפרי נותנים‏ תוצאות מוטעות",כלי סטרילי,.....,הדגימה נלקחת מהמטופל בזמן ברונכוסקופיה,.....,.....,.....,5 שעות,מעבדת ריאות,בירור אימונולוגי של מחלות אינטרסטיציאליות של הריאה‏,"Bronchoalveolar lavage is a diagnostic procedure of washing a sample of cells and secretions from the alveolar and bronchial airspaces. It is performed by installing commercial sterile 0.9% saline solution for intravenous use via a channel of a fiberoptic bronchoscope, which has been wedged into a bronchus with a matching diameter. The fluid is then immediately withdrawn. The instilled fluid fills the airspaces distal to the tip of bronchoscope, replacing the air. A portion of the installed volume remains to be absorbed or expectorated after the procedure. Saline solution is usually used at room temperature, and warming it up to 37°C does not involve any advantage. (Davis 1994). After withdrawal, the fluid should be kept on ice until it is further processed.

A major clinical limitation for the utility of bronchoalveolar lavage is the large range of normal values for each parameter, which makes BALF insensitive in detecting disease. Furthermore, abnormalities in BALF are rarely specific for any of the interstitial lung diseases. There are some subjects who have normal BALF constituents despite a definite disease and some without any evidence of disease despite abnormal BALF findings. There is large interindividual variation which may not be related to the disease, and the airspace cells and secretions may not reflect interstitial processes. The removal of BALF may preferentially select, activate or injure some cells, and the composition of the epithelial lining fluid (ELF) may change during the bronchoalveolar lavage
","מזליפים כ-300 סמ""ק סליין מחומם ל 37 מעלות דרך ברונכוסקופ הממוקם בסגמנט קטן של עץ הסימפונות . מסננים את הנוזל, מסרכזים ומבצעים ספירה דיפרנציאלית של התאים בצביעת גימזה. בודקים גם יחס CD4/CD8 של הלימפוציטים.",7 ימים,לא,.....,מסגרת אשפוזית / 89051 + I4060 + I4181,.....
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,Induced Sputum,כיח מגורה (לספירה מבדלת),.....,.....,.....,ללא משאפים או אינהלציות 24 שעות לפני הבדיקה או לפי הנחית רופא. ארוחה קלה בלבד בשעתיים שלפני הבדיקה.,כיח,הפקת הדגימה מותנית בשיתוף פעולה מצד הנבדק.,מבחנה נקייה,.....,דגימה שמכילה גושי מוקוס,.....,טמפרטורת החדר,טמפרטורת החדר,5 שעות,מעבדת ריאות ,בירור סיבת שיעול כרוני - הערכה של חולים אסטמטיים- תחליף לברונכוסקופיה במחלות אינטרסטיציאליות של הריאה‏,"בדיקת כיח מגורה (Induced Sputum) מתאפיינת ביכולת לגרות את דרכי הנשימה לשם קבלת דגימות כיח מאזורים עמוקים יותר בעץ הסמפונות ובנבדקים שלא יכולים לתת כיח עצמוני. 
הבדיקה משמשת ל:
אבחון שיעול כרוני.
אבחנה של אסתמה, רגישות יתר של דרכי הנשימה.
במחלות אינטרסטיציאליות של הריאה - בדיקת כיח מגורה יכולה להחליף ברונכוסקופיה פיברואופטית (פעולה פולשנית) במקרים שאין אפשרות לביצוע ביופסיה ריאתית.
במחלות תעסוקתיות - לזיהוי עובדים שנחשפו לאבק מזיק כגון סיליקה, אסבסט או מתכות קשות. 
אבחון של זיהום פטרייתי בדרכי הנשימה הגורם למחלה דמויית אסתמה קשה, אשר לא מגיבה לטיפול המקובל.

‏","ספירומטריה, אינהלציה. מסננים את הדגימה, מסרכזים ומבצעים ספירה דיפרנציאלית של התאים בצביעת גימזה.",חודש,לא,.....,מכבי ולאומית: 89051 + I4181. יתר המבטחים: 89051 + 87070 + 88160,"יש לתאם תור. ההפניה הרפואית תכלול פירוט של הבדיקות הדרושות: ספירה דיפרנציאלית, lipid laden macrophages, תת אוכלוסיות לימפוציטים T"
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,בדיקת אלקטרומיקרוסקופיה אבחנתית, אנליזת מתכות SEM:Scanning Electron Microscope,.....,.....,.....,.....,כיח / ביופסיה,זיהוי איכותי.,כלי נקי,.....,רקמה או כיח‏,.....,.....,.....,כיח- ביום הלקיחה. ביופסיה- ללא מגבלה.,מעבדת ריאות,לזהות מינרלים ברקמה של עובדים חשופים לאבק מזיק בכדי למצוא קשר סיבתי למחלה‏,"באמצעות מיקרוסקופ אלקטרוני סורק ( SEM)
(XRF) ניתן להוכיח נוכחות של סיבי אסבסט, סיליקה ומתכות בריאה. 
הבדיקה יכולה להתבצע ברקמה מביופסיה ריאתית, במידה שהנבדק עבר ברונקוסקופיה. 
לחילופין ניתן גם לבצע בדיקה זו על גבי דגימה מכיח מגורה אשר התקבל באופו לא חודרני. 
‏",מיקרוסקופ אלקטרוני‏,חודשיים,לא,…..,88348,כיח- יש לתאם תור. ביופסיה- ניתן להגיע בימים א'-ה' בין 8:00 ל-13:00.
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,Beryllium Lymphocyte Proliferation Test,BeLPT,.....,.....,.....,.....,דם פריפרי,Sensitivity= 68% specificity 98%,"מבחנות של 50 סמ""ק. הלקיחה נעשית במעבדה",.....,"40 מ""ל דם עם הפרין‏",.....,לקיחת הדם מתבצעת במעבדה המבצעת,.....,.....,מעבדת ריאות,"לאתר נבדקים אשר פיתחו רגישות לבריליום לאחר חשיפה למתכת (BeS= Beryllium Sensitization) ולעשות אבחנה של עובדים שפיתחו מחלה ריאות גרנולומטותית עקב חשיפה (=Chronic Beryllium Diseases=CBD)
רקע: בריליום  הנה מתכת  קלה אשר גורמת לתגובה חיסונית  תאית בריאות ולהיווצרות גרנולומות. הבדיקה מתבצעת לשלוש מטרות:
1. בדיקת סקר.
2. כחלק ממערך אבחוני. 
3. פיקוח של אוכלוסייה חשופה
‏","The blood beryllium lymphocyte proliferation test (BeLPT) is an in vitro measure of the beryllium antigen-specific cell-mediated immune response. This response to beryllium is now understood to play a central role in the immunopathogenesis of chronic beryllium disease (CBD) . Although there remain some unresolved methodologic issues with testing, the blood BeLPT has already undergone sufficient development and field assessment to lead to a number of important conclusions: a) The BeLPT identifies beryllium sensitization and CBD earlier and better than any other clinical test presently available. b) The CBD cases identified with the blood test are clinically significant. c) A subset of the people identified by the BeLPT who do not yet have clinical disease will progress and require treatment with corticosteroids for impairing illness. d) The BeLPT can be used to improve clinical diagnostic accuracy and to correct mistaken diagnoses. e) The blood test can be used in screening large numbers of exposed workers because it is sensitive and specific and has high positive and negative predictive value for CBD. f) In every workforce studied to date, the BeLPT has identified beryllium sensitization and CBD that had been missed by conventional screening efforts. g) Worker populations that have been characterized using the BeLPT can help to elucidate the role of exposure genetics and dysregulated infiammation in the genesis of occupational lung disease. --",טרנספומציה של לימפוציטים,חודש,לא,.....,83015 + 86353,יש לתאם תור
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,MELISA,Metals Lymphocyte Proliferation Test,.....,.....,.....,.....,דם פריפרי,.....,"5 מזרקי 20מ""ל עם סודיום ציטראט כנוגד קרישה. הלקיחה נעשית במעבדה",.....,"120 מ""ל דם עם סודיום ציטראט",.....,טמפרטורת החדר,טמפרטורת החדר,למחרת לקיחת הדם,מעבדת ריאות,זיהוי רגישות למתכות אצל חולי סרקואידוזיס עם חשיפה תעסוקתית ברקע.,"שימוש במבחן MELISA® לזיהוי רגישות למתכות אצל חולי סרקואידוזיס עם חשיפה תעסוקתית ברקע. רבים השקיעו מאמצים כדי לזהות את גורם המחלה [1,2]. בעשור  חרון קיימת הסכמה שמספר אנטיגנים תעסוקתיים וסביבתיים  יכולים לבוא בחשבון כגורם לתהליך גרנולומטותי [3]. שאיפת אדי בריליום הינה אחת הסיבות המזוהות וידועות כגורם למחלת  בריליום הכרונית אשר הנה מחלה בעלת מהלך קליני והדמייתי זהה למחלת הסרקואידוזיס [4]. אחת הדרכים להבדיל בין מחלת בריליוזיס כרונית לבין מחלות גרנולומטוטיות אחרות, כמו  רקואידוזיס, זיהומים פיטרייתים ומיקובקטריאליים, סיפיליס ומחלת קרוהן, או מחלות גרנולומטוטיות הנגרמות על ידי מתכות אחרות הנו באמצעות מבחן רגישות לבריליום (BelPT Beryllium Lymphocyte Proliferation Test) [5,6]. במחקר שבצענו בקרב 43 חולי סרקואידוזיס מצאנו  ש – 14/43 הנבדקים היה להם בעבר חשיפה תעסוקתית אשר הייתה יכולה להסביר את האטיולוגיה של המחלה ול  3/14  חולי סרקואידוזיס היה מבחן רגישות לבריליום חיובי. כך שונתה אבחנתם מסרקואידוזיס למחלת הבריליום הכרוני. לפי זה חושב שכ 6% מהחולים המאובחנים חולי סרקואידוזיס הינם חולים הסובלים ממחלת הבריליום הכרונית [7]. אך באותה עבודה נוכחנו לדעת שיתר חולי הסרקואידוזיס על אף היותם חשופים בעבודתם נותרו כחולים במחלה אידיופטית בהעדר מבחן  לזיהוי גורם המחלה. MELISA® MEDICA זו חברה שהשתייכה בעבר לחברת  Astra Pharmaceuticals (AstraZeneca), אשר העמידה מבחן מסחרי לזיהוי רגישות למתכות כגורם אטיולוגי במחלות כרוניות שונות [8,9]. מבחן MELISA® הינו מבחן זהה ל מבחן BelPT אך מזהה רגישות למתכות אצל חולי סרקואידוזיס עם חשיפה תעסוקתית ברקע  שאינה חשיפה לבריליום. במבחן זה מגרים את התאים של דם פריפרי בדומה ל Be2SO4 לבדיקת בריליום (Be ) עם מלחים שונים כגון Zn2SO4 לבדיקת אבץ ( Zn  (  Al2SO4 לבדיקת אלומינום (Al ) וכו'.. מדגירים את התאים למשך 3-6 ימים ובודקים אינדקס של שגשוג תאים בנוכחות חומר מגרה ובלעדיו. בשיטה זו יאספו דגימות דם פריפרי מחולים עם סרקואידוזיס עם אנמנזה תעסוקתית של חשיפה למתכות אך שמבחן רגישות לבריליום הנו שלילי.

",טרנספומציה של לימפוציטים,חודש,לא,.....,83015 + 95199 + 86353,יש לתאם תור. ההפניה הרפואית תכלול פירוט של המתכות שיש לבדוק תגובה תאית אליהן
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,RAST עונתי,inhalant sIgE,.....,.....,.....,.....,דם פריפרי,.....,מבחנת ג'ל,.....,"5 מ""ל",.....,.....,.....,יום,מעבדת ריאות,לבדוק נוכחות sIgE עם ספציפיות לאפיטופים של אלמנטים נשאפים שונים,"The two most commonly used methods of confirming allergen sensitization are skin testing and allergy blood testing. Both methods are recommended by the NIH guidelines and have similar diagnostic value in terms of sensitivity and specificity.[1][2 Advantages of the allergy blood test range from: excellent reproducibility across the full measuring range of the calibration curve, it has very high specificity as it binds to allergen specific IgE, and extremely sensitive too, when compared with skin prick testing. In general, this method of blood testing (in-vitro, out of body) vs skin-prick testing (in-vivo, in body) has a major advantage: it is not always necessary to remove the patient from an anthihistamine medication regimen, and if the skin conditions (such as eczema) are so widespread that allergy skin testing cannot be done. Allergy blood tests, such as ImmunoCAP, are performed without procedure variations, and the results are of excellent standardization.[3 Adults and children of any age can take an allergy blood test. For babies and very young children, a single needle stick for allergy blood testing is often more gentle than several skin tests. However, skin testing techniques have improved. Most skin testing does not involve needles and typically skin testing results in minimal patient discomfort.]
 
",Phadia (Pharmacia),עד שבועיים,לא,CAP-SE,I4523. לאומית - I7443,ההפניה הרפואית תפרט את הנשאפים שיש לבדוק המצאות נוגדנים כנגדם.
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,RAST מזון,food sIgE,.....,.....,.....,.....,דם פריפרי,.....,מבחנת ג'ל,.....,"5 מ""ל",.....,.....,.....,יום,מעבדת ריאות,לבדוק נוכחות sIgE עם ספציפיות לאפיטופים של מזונות שונים,"The two most commonly used methods of confirming allergen sensitization are skin testing and allergy blood testing. Both methods are recommended by the NIH guidelines and have similar diagnostic value in terms of sensitivity and specificity.[1][2 Advantages of the allergy blood test range from: excellent reproducibility across the full measuring range of the calibration curve, it has very high specificity as it binds to allergen specific IgE, and extremely sensitive too, when compared with skin prick testing. In general, this method of blood testing (in-vitro, out of body) vs skin-prick testing (in-vivo, in body) has a major advantage: it is not always necessary to remove the patient from an anthihistamine medication regimen, and if the skin conditions (such as eczema) are so widespread that allergy skin testing cannot be done. Allergy blood tests, such as ImmunoCAP, are performed without procedure variations, and the results are of excellent standardization.[3 Adults and children of any age can take an allergy blood test. For babies and very young children, a single needle stick for allergy blood testing is often more gentle than several skin tests. However, skin testing techniques have improved. Most skin testing does not involve needles and typically skin testing results in minimal patient discomfort.]
 
",Phadia (Pharmacia),עד שבועיים,לא,CAP-SE,I4517. לאומית- I7443,ההפניה הרפואית תפרט את המזונות שיש לבדוק המצאות נוגדנים כנגדם.
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,RAST components,בדיקת קומפוננטות,.....,.....,.....,.....,דם פריפרי,.....,מבחנת ג'ל,.....,"5 מ""ל",.....,.....,.....,יום,מעבדת ריאות,לבדוק נוכחות sIgE למרכיבים (קומפוננטות) של חלב / בוטנים / ביצה,"בדיקה לאיתור מרכיבים מולקולרים  של מזונות כגון חלב, ביצים ובוטנים אשר גורמים לתגובה אלרגית חריפה - רגישות למרכיבי מזון בנפרד‏",Phadia (Pharmacia),עד שבועיים,לא,CAP-SE,I7948 עבור ביצים / חלב. I7947 עבור בוטנים.,ההפניה הרפואית תציין את שם המזון שיש לבדוק המצאות נוגדנים כנגד מרכיביו
ריאות ואלרגיה,הבדיקה אינה ממוחשבת,Single allergen Specific IgE,RAST אלרגן בודד,.....,.....,.....,.....,דם פריפרי,.....,מבחנת ג'ל,.....,"5 מ""ל",.....,.....,.....,יום,מעבדת ריאות,אלרגיה לאלרגן בודד- מזון מסויים / נשאף מסויים / דבורים / צרעות,"The two most commonly used methods of confirming allergen sensitization are skin testing and allergy blood testing. Both methods are recommended by the NIH guidelines and have similar diagnostic value in terms of sensitivity and specificity.[1][2 Advantages of the allergy blood test range from: excellent reproducibility across the full measuring range of the calibration curve, it has very high specificity as it binds to allergen specific IgE, and extremely sensitive too, when compared with skin prick testing. In general, this method of blood testing (in-vitro, out of body) vs skin-prick testing (in-vivo, in body) has a major advantage: it is not always necessary to remove the patient from an anthihistamine medication regimen, and if the skin conditions (such as eczema) are so widespread that allergy skin testing cannot be done. Allergy blood tests, such as ImmunoCAP, are performed without procedure variations, and the results are of excellent standardization.[3 Adults and children of any age can take an allergy blood test. For babies and very young children, a single needle stick for allergy blood testing is often more gentle than several skin tests. However, skin testing techniques have improved. Most skin testing does not involve needles and typically skin testing results in minimal patient discomfort.]
 
",Phadia (Pharmacia),עד שבועיים,לא,CAP-SE,  I4521,ההפניה הרפואית תציין את האלרגן שיש לבדוק המצאות נוגדנים כנגדו.
מעבדה לנגיפים וביולוגיה מולקולרית,אין,HIV resistance,בדיקת עמידות נגיף האיידס לתרופות,,,,"EDTA as anticoagulant. No Heparin!
עבור מאושפזים הבדיקה מתבצעת באישור יועץ זיהומי בלבד",פלסמה,HIV Viral Load  equal or more than 150 copie/ml,מבחנת ספירה‏,violet,10 ml,10ml,יש להפריד את הפלסמה ולשמור בהקפאה,קרח יבש,טרי מאותו יום," (1): המעבדה לנגיפים וביולוגיה מולקולרית

","בדיקת הנגיף לעמידות לתרופות ע""י בידוד הנגיף מדם החולה וריצוף החומר הגנטי שלו לאיתור מוטציות שידועות כמקנות עמידות לתרופות","בדיקת העמידות מכוונת לתרופות שמעכבות את האנזימים של הוירוס הכוללים את ה- Protease, Reverse Transcriptase and Integrase",sequencing,30 ימים,לא,QCMD,L6689,
מעבדה לנגיפים וביולוגיה מולקולרית,אין,HLA-B*57:01,זיהוי האלל HLA-B*57:01 בנשאי HIV,,,,"EDTA tube as anti-coagulant
עבור מאושפזים הבדיקה מבוצעת באישור יועץ זיהומי בלבד",דם מלא,,מבחנת ספירת דם,violet,5 ml,,דם מלא טרי בטמפ חדר,טמפרטורת חדר,טרי מאותו יום," (1): המעבדה לנגיפים וביולוגיה מולקולרית

",Before abacavir treatment it is compulsery to check for HLA-B*57:01 allele carriage because this allele is known to be higly associated with life-threatening hypersensitivity reaction caused by abacavir.,Positive carrier of the HLA-B*57:01 mutation should not be treated with Abacavir!,Real-time PCR,10 ימים,לא,UK NEQAS,L6538,
